Student,Grade,Feedback count,HW6,HW11,First_opened_mean_HW,Online,Preference,Both,Viewed_lecture_1_materials,Viewed_lecture_2_materials,Viewed_lecture_3_materials,Viewed_lecture_4_materials,Viewed_lecture_5_materials,Viewed_lecture_6_materials,Viewed_lecture_7_materials,Viewed_lecture_8_materials,Viewed_lecture_9_materials,Viewed_lecture_10_materials,Viewed_lecture_11_materials,Viewed_lecture_12_materials,Viewed_lecture_13_materials,Viewed_lecture_14_materials,Viewed_lecture_15_materials,Viewed sample solutions of Homework,Viewed past years' exam,Viewed sample solutions,Watched,Total_activity_week_1,Total_activity_week_2,Total_activity_week_3,Total_activity_week_4,Total_activity_week_5,Total_activity_week_6,Total_activity_week_7,Total_activity_week_8,Total_activity_week_9,Total_activity_week_10,Total_activity_week_11,Total_activity_week_12,Total_activity_week_13,Total_activity_week_14,Total_activity_week_15,Total_activity_week_16,Total_activity_week_17,Total_activity_week_18,start_before_HW1,start_before_HW2,start_before_HW3,start_before_HW4,start_before_HW5,start_before_HW6,start_before_HW7,start_before_HW8,start_before_HW9,start_before_HW10,start_before_HW11,start_before_HW12,submit_before_HW1,submit_before_HW2,submit_before_HW3,submit_before_HW4,submit_before_HW5,submit_before_HW6,submit_before_HW7,submit_before_HW8,submit_before_HW9,submit_before_HW10,submit_before_HW11,submit_before_HW12,start_average,submit_average,start_time_HW1,start_time_HW2,start_time_HW3,start_time_HW4,start_time_HW5,start_time_HW6,start_time_HW7,start_time_HW8,start_time_HW9,start_time_HW10,start_time_HW11,start_time_HW12,study_night_final2,study_night_final_retake
B076,0.0,3,0,0,6.333333333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0.0,0.0,4.0,0.0,18.0,5.0,4.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8,14,6,1,7,-1,2,0,-1,-1,-1,-1,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.75,-0.08333333333333333,25.0,25.0,25.0,25.0,25.0,-1.0,25.0,7.191388888888888,-1.0,-1.0,-1.0,-1.0,0,0
B077,1.0,13,3,3,4.0,0,1,1,37,5,6,4,3,3,4,4,4,4,6,7,5,4,4,10,6,14,1,6.0,0.0,2.0,8.0,8.0,12.0,4.0,11.0,3.0,24.0,1.0,9.0,6.0,12.0,8.0,25.0,4.0,0.0,1,0,0,0,1,0,0,0,0,1,5,12,0,0,0,0,0,-1,0,0,0,0,0,-1,1.6666666666666667,-0.16666666666666666,25.0,9.841111111111111,10.221666666666666,10.058333333333334,25.0,6.466666666666665,6.225833333333334,6.211944444444441,10.147777777777778,25.0,25.0,25.0,0,0
B078,2.0,12,5,2,6.0,1,0,1,20,1,5,4,8,4,4,5,3,2,3,1,3,3,4,9,3,16,0,4.0,6.0,2.0,4.0,10.0,8.0,5.0,1.0,4.0,25.0,3.0,3.0,1.0,4.0,7.0,60.0,5.0,0.0,13,0,6,3,-1,1,0,-1,-1,0,2,11,6,-1,0,-1,-1,1,-1,-1,-1,0,2,11,2.75,1.1666666666666667,25.0,22.99972222222222,25.0,25.0,-1.0,25.0,1.4916666666666671,-1.0,-1.0,11.881944444444445,25.0,25.0,0,0
B079,4.0,27,4,7,3.909090909090909,13,0,3,92,9,7,9,10,6,7,4,3,5,18,22,20,13,7,11,5,16,6,1.0,7.0,3.0,13.0,19.0,14.0,8.0,14.0,13.0,27.0,5.0,18.0,10.0,11.0,29.0,17.0,11.0,56.0,3,5,3,3,6,4,3,1,1,8,6,0,2,1,2,0,0,1,1,0,0,0,0,0,3.5833333333333335,0.5833333333333334,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,8.150277777777777,1,0
B080,1.0,14,4,1,1.6,1,1,2,15,3,7,5,4,11,4,2,5,4,4,3,1,1,1,17,2,32,19,4.0,7.0,1.0,11.0,11.0,13.0,9.0,4.0,3.0,13.0,0.0,2.0,5.0,5.0,0.0,32.0,10.0,17.0,2,1,2,1,0,0,2,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0.4166666666666667,-0.3333333333333333,25.0,25.0,25.0,25.0,1.4416666666666664,12.413333333333332,25.0,15.027777777777777,5.059444444444445,-1.0,-1.0,-1.0,1,1
B081,2.0,24,6,3,0.0,0,1,1,9,10,7,4,4,4,8,1,1,2,2,2,0,2,1,23,7,26,2,0.0,1.0,0.0,2.0,8.0,9.0,4.0,3.0,6.0,26.0,6.0,7.0,17.0,6.0,18.0,23.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,0,-1,-0.08333333333333333,-0.4166666666666667,8.175833333333333,1.9844444444444456,2.894722222222221,2.396111111111111,3.2197222222222237,1.7936111111111117,9.891666666666667,1.7966666666666669,1.5522222222222233,6.73138888888889,0.5586111111111123,-1.0,0,0
B082,6.0,32,4,3,9.416666666666666,7,1,5,61,6,4,3,8,7,5,6,5,8,8,8,13,13,6,13,2,22,10,2.0,9.0,6.0,4.0,8.0,8.0,6.0,5.0,13.0,35.0,11.0,4.0,24.0,12.0,22.0,35.0,8.0,1.0,14,15,7,12,9,5,14,3,4,7,9,16,5,0,2,0,0,2,0,0,0,0,5,5,9.583333333333334,1.5833333333333333,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B083,5.0,38,8,3,6.7,0,1,1,45,4,6,8,5,4,8,5,6,6,9,8,8,6,4,14,5,17,4,4.0,3.0,12.0,7.0,11.0,9.0,8.0,8.0,25.0,22.0,1.0,10.0,17.0,17.0,28.0,60.0,0.0,0.0,7,14,0,7,7,0,3,2,4,8,7,14,0,0,0,0,0,0,3,1,2,0,6,-1,6.083333333333333,0.9166666666666666,25.0,25.0,14.614166666666668,25.0,25.0,11.152222222222221,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B084,6.0,24,2,6,1.7142857142857142,11,0,1,42,6,6,8,5,9,9,7,5,4,6,9,11,7,2,2,6,5,1,4.0,1.0,4.0,8.0,22.0,8.0,7.0,12.0,19.0,19.0,7.0,10.0,16.0,10.0,17.0,6.0,34.0,5.0,1,2,0,1,3,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1.0833333333333333,0.16666666666666666,25.0,25.0,13.544166666666667,25.0,25.0,8.642222222222223,10.06,10.626944444444444,25.0,11.006944444444445,25.0,25.0,0,0
B085,1.0,29,6,4,5.75,1,1,1,65,23,15,9,11,5,10,10,16,11,10,3,9,3,7,47,4,56,2,5.0,10.0,4.0,25.0,12.0,6.0,11.0,3.0,14.0,82.0,5.0,19.0,28.0,6.0,24.0,12.0,58.0,33.0,6,6,4,4,7,6,6,6,7,14,2,1,0,0,0,1,0,3,0,0,0,0,0,0,5.75,0.3333333333333333,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
