Student,Grade,Feedback count,HW6,HW11,First_opened_mean_HW,Online,Preference,Both,Viewed_lecture_1_materials,Viewed_lecture_2_materials,Viewed_lecture_3_materials,Viewed_lecture_4_materials,Viewed_lecture_5_materials,Viewed_lecture_6_materials,Viewed_lecture_7_materials,Viewed_lecture_8_materials,Viewed_lecture_9_materials,Viewed_lecture_10_materials,Viewed_lecture_11_materials,Viewed_lecture_12_materials,Viewed_lecture_13_materials,Viewed_lecture_14_materials,Viewed_lecture_15_materials,Viewed sample solutions of Homework,Viewed past years' exam,Viewed sample solutions,Watched,Total_activity_week_1,Total_activity_week_2,Total_activity_week_3,Total_activity_week_4,Total_activity_week_5,Total_activity_week_6,Total_activity_week_7,Total_activity_week_8,Total_activity_week_9,Total_activity_week_10,Total_activity_week_11,Total_activity_week_12,Total_activity_week_13,Total_activity_week_14,Total_activity_week_15,Total_activity_week_16,Total_activity_week_17,Total_activity_week_18,start_before_HW1,start_before_HW2,start_before_HW3,start_before_HW4,start_before_HW5,start_before_HW6,start_before_HW7,start_before_HW8,start_before_HW9,start_before_HW10,start_before_HW11,start_before_HW12,submit_before_HW1,submit_before_HW2,submit_before_HW3,submit_before_HW4,submit_before_HW5,submit_before_HW6,submit_before_HW7,submit_before_HW8,submit_before_HW9,submit_before_HW10,submit_before_HW11,submit_before_HW12,start_average,submit_average,start_time_HW1,start_time_HW2,start_time_HW3,start_time_HW4,start_time_HW5,start_time_HW6,start_time_HW7,start_time_HW8,start_time_HW9,start_time_HW10,start_time_HW11,start_time_HW12,study_night_final2,study_night_final_retake
B109,6.0,40,6,3,13.833333333333334,0,1,1,173,20,20,17,20,20,19,21,51,24,33,28,34,23,10,19,8,33,25,9.0,16.0,29.0,18.0,26.0,21.0,13.0,27.0,46.0,83.0,40.0,41.0,39.0,61.0,43.0,66.0,5.0,0.0,14,15,13,14,14,11,15,14,14,14,11,17,8,3,1,0,0,1,1,1,1,0,3,10,13.833333333333334,2.4166666666666665,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B110,3.0,15,3,0,3.75,10,0,1,28,2,3,3,3,4,2,1,3,2,4,4,7,4,5,0,3,0,3,3.0,3.0,4.0,5.0,6.0,8.0,4.0,4.0,11.0,0.0,1.0,8.0,10.0,4.0,4.0,23.0,5.0,0.0,5,4,3,0,-1,0,0,3,0,0,-1,-1,3,4,0,0,-1,0,0,-1,0,0,-1,-1,1.0,0.25,25.0,25.0,25.0,6.404722222222222,-1.0,2.5666666666666664,11.107222222222223,25.0,3.140833333333333,1.1566666666666663,-1.0,-1.0,0,0
B111,6.0,33,6,3,13.545454545454545,4,1,3,31,5,5,4,11,11,12,9,7,2,4,5,7,4,5,12,1,14,9,3.0,7.0,11.0,3.0,11.0,4.0,12.0,28.0,11.0,25.0,5.0,10.0,13.0,12.0,19.0,3.0,8.0,12.0,14,15,13,15,14,11,15,14,0,14,12,17,-1,1,8,0,0,0,0,-1,0,-1,-1,-1,12.833333333333334,0.3333333333333333,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.001944444444444,25.0,25.0,25.0,0,0
B112,4.0,32,3,6,6.916666666666667,4,0,1,48,3,7,5,6,5,11,11,10,8,7,8,9,7,3,12,1,14,2,8.0,3.0,3.0,13.0,8.0,2.0,19.0,28.0,24.0,5.0,2.0,14.0,26.0,14.0,32.0,15.0,23.0,0.0,13,12,12,5,12,9,9,1,5,4,11,1,13,9,12,5,6,5,3,1,0,4,2,0,7.833333333333333,5.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B113,5.0,15,4,1,8.25,2,1,2,64,12,13,12,7,7,11,5,10,5,10,13,11,7,5,10,6,14,6,5.0,18.0,2.0,8.0,30.0,6.0,9.0,4.0,18.0,62.0,36.0,0.0,9.0,19.0,8.0,10.0,6.0,41.0,14,0,1,0,-1,0,15,0,0,3,-1,0,2,0,0,0,-1,0,7,-1,0,-1,-1,0,2.5833333333333335,0.4166666666666667,25.0,3.9883333333333333,25.0,0.22500000000000142,-1.0,23.68777777777778,25.0,1.8191666666666642,3.3747222222222213,25.0,-1.0,5.62361111111111,1,0
B114,4.0,32,4,3,8.416666666666666,2,0,2,22,1,1,1,1,1,4,7,9,1,4,3,3,1,1,7,2,11,4,9.0,4.0,9.0,1.0,8.0,8.0,6.0,10.0,1.0,31.0,12.0,17.0,8.0,9.0,16.0,21.0,5.0,0.0,13,15,7,7,14,8,4,3,4,3,7,17,8,1,0,0,1,0,0,0,0,0,0,-1,8.5,0.75,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B115,4.0,36,7,5,6.75,3,1,2,34,1,2,3,0,1,4,4,5,9,7,6,7,3,2,8,0,10,3,0.0,2.0,1.0,12.0,2.0,11.0,3.0,5.0,21.0,8.0,13.0,16.0,7.0,15.0,34.0,22.0,5.0,0.0,3,10,3,10,7,10,14,4,4,4,11,17,3,0,0,0,0,0,0,0,0,0,5,11,8.083333333333334,1.5833333333333333,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B116,6.0,23,4,4,5.285714285714286,0,1,1,1,3,2,4,2,1,1,1,1,0,0,0,1,0,0,2,0,2,0,0.0,0.0,3.0,1.0,2.0,6.0,2.0,3.0,6.0,9.0,1.0,2.0,1.0,5.0,7.0,7.0,5.0,2.0,13,5,1,2,1,0,1,14,0,0,0,0,10,-1,0,0,-1,0,0,-1,0,0,0,-1,3.0833333333333335,0.5,25.0,25.0,25.0,25.0,25.0,6.154166666666669,25.0,25.0,5.268055555555556,4.164722222222224,6.34416666666667,5.478888888888889,0,0
B117,2.0,4,2,2,7.857142857142857,3,1,2,43,6,10,7,11,7,9,5,8,5,9,8,10,6,4,1,0,1,6,6.0,3.0,11.0,0.0,17.0,4.0,7.0,0.0,14.0,3.0,0.0,13.0,2.0,16.0,28.0,19.0,0.0,0.0,-71,0,1,0,-1,0,14,1,14,6,11,10,-77,0,-1,0,-1,0,0,-1,0,0,3,10,-1.25,-5.583333333333333,0.0,1.8805555555555564,25.0,1.3794444444444451,-1.0,1.7419444444444458,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B118,3.0,21,2,5,2.75,0,1,1,36,3,5,3,5,4,3,2,6,4,4,3,9,12,2,8,2,9,19,2.0,3.0,8.0,4.0,16.0,6.0,7.0,11.0,3.0,10.0,1.0,10.0,9.0,10.0,16.0,6.0,13.0,24.0,8,1,2,4,4,0,0,0,0,1,1,1,1,0,1,0,0,0,-1,0,0,-1,0,0,1.8333333333333333,0.0,25.0,25.0,25.0,25.0,25.0,9.211388888888889,10.059444444444445,10.973888888888888,5.413888888888891,25.0,25.0,25.0,0,0
B119,1.0,0,0,0,0.0,0,1,1,1,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
